,query,output
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
1,,greeting
